序号,赛季,赛区,赛次,比赛阶段,红方学校,红队名,蓝方学校,蓝队名,红方比分,蓝方比分,备注
30900,2025,南部赛区,1,GROUP,华南农业大学,Taurus,重庆理工大学,士继DREAMER,1,2,
30901,2025,南部赛区,2,GROUP,国防科技大学,军临,厦门大学嘉庚学院,TCR,0,2,
30902,2025,南部赛区,3,GROUP,仲恺农业工程学院,奇点,华南理工大学,华南虎,2,1,
30903,2025,南部赛区,4,GROUP,武汉大学,珞珈狐,桂林信息科技学院,GIRT,1,2,
30904,2025,南部赛区,5,GROUP,电子科技大学中山学院,RoboBraver,长沙理工大学,云嵌,2,0,
30905,2025,南部赛区,6,GROUP,武汉工程大学,Nautilus,华南师范大学（佛山校区）,VANGUARD,0,2,
30906,2025,南部赛区,7,GROUP,广州航海学院,ICBK破冰船,上海交通大学,交龙,0,2,
30907,2025,南部赛区,8,GROUP,厦门理工学院,PFA,桂林电子科技大学,Evolution,0,2,
30916,2025,南部赛区,17,GROUP,仲恺农业工程学院,奇点,桂林信息科技学院,GIRT,2,0,
30917,2025,南部赛区,18,GROUP,重庆理工大学,士继DREAMER,电子科技大学中山学院,RoboBraver,0,2,
30918,2025,南部赛区,19,GROUP,厦门大学嘉庚学院,TCR,桂林电子科技大学,Evolution,2,1,
30919,2025,南部赛区,20,GROUP,上海交通大学,交龙,华南师范大学（佛山校区）,VANGUARD,2,0,
30920,2025,南部赛区,21,GROUP,武汉工程大学,Nautilus,广州航海学院,ICBK破冰船,2,1,
30921,2025,南部赛区,22,GROUP,国防科技大学,军临,厦门理工学院,PFA,0,2,
30922,2025,南部赛区,23,GROUP,华南农业大学,Taurus,长沙理工大学,云嵌,2,0,
30923,2025,南部赛区,24,GROUP,华南理工大学,华南虎,武汉大学,珞珈狐,2,0,
30932,2025,南部赛区,33,GROUP,仲恺农业工程学院,奇点,厦门大学嘉庚学院,TCR,2,0,
30933,2025,南部赛区,34,GROUP,上海交通大学,交龙,电子科技大学中山学院,RoboBraver,2,0,
30934,2025,南部赛区,35,GROUP,华南师范大学（佛山校区）,VANGUARD,重庆理工大学,士继DREAMER,0,2,
30935,2025,南部赛区,36,GROUP,华南理工大学,华南虎,桂林电子科技大学,Evolution,1,2,
30936,2025,南部赛区,37,GROUP,桂林信息科技学院,GIRT,武汉工程大学,Nautilus,0,2,
30937,2025,南部赛区,38,GROUP,厦门理工学院,PFA,华南农业大学,Taurus,0,2,
30938,2025,南部赛区,39,GROUP,广州航海学院,ICBK破冰船,长沙理工大学,云嵌,2,0,
30939,2025,南部赛区,40,GROUP,武汉大学,珞珈狐,国防科技大学,军临,2,1,
30948,2025,南部赛区,49,GROUP,重庆理工大学,士继DREAMER,厦门大学嘉庚学院,TCR,0,2,
30949,2025,南部赛区,50,GROUP,桂林电子科技大学,Evolution,电子科技大学中山学院,RoboBraver,0,2,
30950,2025,南部赛区,51,GROUP,华南农业大学,Taurus,武汉工程大学,Nautilus,2,1,
30951,2025,南部赛区,52,GROUP,华南师范大学（佛山校区）,VANGUARD,华南理工大学,华南虎,0,2,
30952,2025,南部赛区,53,GROUP,桂林信息科技学院,GIRT,广州航海学院,ICBK破冰船,2,0,
30953,2025,南部赛区,54,GROUP,武汉大学,珞珈狐,厦门理工学院,PFA,0,2,
30960,2025,南部赛区,61,GROUP,桂林电子科技大学,Evolution,厦门理工学院,PFA,2,1,
30961,2025,南部赛区,62,GROUP,武汉工程大学,Nautilus,重庆理工大学,士继DREAMER,2,0,
30962,2025,南部赛区,63,GROUP,桂林信息科技学院,GIRT,华南理工大学,华南虎,0,2,
30908,2025,南部赛区,9,GROUP,桂林理工大学,群星,太原理工大学,TRoMaC,2,0,
30909,2025,南部赛区,10,GROUP,东莞理工学院,ACE,华中科技大学,狼牙,2,0,
30910,2025,南部赛区,11,GROUP,五邑大学,IMCA,深圳技术大学,悍匠,2,0,
30911,2025,南部赛区,12,GROUP,广州城市理工学院,野狼,湘潭大学,逐曦,2,0,
30912,2025,南部赛区,13,GROUP,武汉科技大学,崇实,深圳大学,RobotPilots,0,2,
30913,2025,南部赛区,14,GROUP,南华大学,MA,南昌大学,Passion,2,0,
30914,2025,南部赛区,15,GROUP,广东工业大学,DynamicX,西交利物浦大学,GMaster,2,0,
30915,2025,南部赛区,16,GROUP,中南大学,FYT,厦门大学,RCS,2,1,
30924,2025,南部赛区,25,GROUP,五邑大学,IMCA,中南大学,FYT,2,0,
30925,2025,南部赛区,26,GROUP,东莞理工学院,ACE,桂林理工大学,群星,2,0,
30926,2025,南部赛区,27,GROUP,广东工业大学,DynamicX,广州城市理工学院,野狼,1,2,
30927,2025,南部赛区,28,GROUP,深圳大学,RobotPilots,南华大学,MA,2,1,
30928,2025,南部赛区,29,GROUP,武汉科技大学,崇实,南昌大学,Passion,2,1,
30929,2025,南部赛区,30,GROUP,西交利物浦大学,GMaster,湘潭大学,逐曦,2,1,
30930,2025,南部赛区,31,GROUP,华中科技大学,狼牙,太原理工大学,TRoMaC,2,0,
30931,2025,南部赛区,32,GROUP,深圳技术大学,悍匠,厦门大学,RCS,2,0,
30940,2025,南部赛区,41,GROUP,深圳大学,RobotPilots,东莞理工学院,ACE,2,0,
30941,2025,南部赛区,42,GROUP,广州城市理工学院,野狼,五邑大学,IMCA,0,2,
30942,2025,南部赛区,43,GROUP,广东工业大学,DynamicX,中南大学,FYT,2,0,
30943,2025,南部赛区,44,GROUP,深圳技术大学,悍匠,桂林理工大学,群星,2,1,
30944,2025,南部赛区,45,GROUP,南华大学,MA,武汉科技大学,崇实,2,0,
30945,2025,南部赛区,46,GROUP,西交利物浦大学,GMaster,华中科技大学,狼牙,0,2,
30946,2025,南部赛区,47,GROUP,湘潭大学,逐曦,南昌大学,Passion,0,2,
30947,2025,南部赛区,48,GROUP,太原理工大学,TRoMaC,厦门大学,RCS,2,0,
30954,2025,南部赛区,55,GROUP,广州城市理工学院,野狼,东莞理工学院,ACE,2,1,
30955,2025,南部赛区,56,GROUP,南华大学,MA,深圳技术大学,悍匠,0,2,
30956,2025,南部赛区,57,GROUP,华中科技大学,狼牙,广东工业大学,DynamicX,2,1,
30957,2025,南部赛区,58,GROUP,中南大学,FYT,武汉科技大学,崇实,2,0,
30958,2025,南部赛区,59,GROUP,西交利物浦大学,GMaster,桂林理工大学,群星,2,0,
30959,2025,南部赛区,60,GROUP,太原理工大学,TRoMaC,南昌大学,Passion,1,2,
30963,2025,南部赛区,64,GROUP,南昌大学,Passion,东莞理工学院,ACE,0,2,
30964,2025,南部赛区,65,GROUP,南华大学,MA,西交利物浦大学,GMaster,2,0,
30965,2025,南部赛区,66,GROUP,中南大学,FYT,广东工业大学,DynamicX,1,2,
30966,2025,南部赛区,67,KNOCKOUT,五邑大学,IMCA,武汉工程大学,Nautilus,2,0,
30967,2025,南部赛区,68,KNOCKOUT,华中科技大学,狼牙,电子科技大学中山学院,RoboBraver,1,2,
30968,2025,南部赛区,69,KNOCKOUT,华南理工大学,华南虎,深圳大学,RobotPilots,2,0,
30969,2025,南部赛区,70,KNOCKOUT,厦门大学嘉庚学院,TCR,东莞理工学院,ACE,0,2,
30970,2025,南部赛区,71,KNOCKOUT,桂林电子科技大学,Evolution,广州城市理工学院,野狼,0,2,
30971,2025,南部赛区,72,KNOCKOUT,上海交通大学,交龙,广东工业大学,DynamicX,2,1,
30972,2025,南部赛区,73,KNOCKOUT,深圳技术大学,悍匠,华南农业大学,Taurus,1,2,
30973,2025,南部赛区,74,KNOCKOUT,南华大学,MA,仲恺农业工程学院,奇点,1,2,
30974,2025,南部赛区,75,KNOCKOUT,五邑大学,IMCA,电子科技大学中山学院,RoboBraver,2,0,
30975,2025,南部赛区,76,KNOCKOUT,东莞理工学院,ACE,华南理工大学,华南虎,2,1,
30976,2025,南部赛区,77,KNOCKOUT,广州城市理工学院,野狼,上海交通大学,交龙,2,0,
30977,2025,南部赛区,78,KNOCKOUT,仲恺农业工程学院,奇点,华南农业大学,Taurus,0,2,
30978,2025,南部赛区,79,KNOCKOUT,武汉工程大学,Nautilus,华中科技大学,狼牙,2,0,
30979,2025,南部赛区,80,KNOCKOUT,厦门大学嘉庚学院,TCR,深圳大学,RobotPilots,0,2,
30980,2025,南部赛区,81,KNOCKOUT,桂林电子科技大学,Evolution,广东工业大学,DynamicX,0,2,
30981,2025,南部赛区,82,KNOCKOUT,南华大学,MA,深圳技术大学,悍匠,2,1,
30982,2025,南部赛区,83,KNOCKOUT,五邑大学,IMCA,广州城市理工学院,野狼,2,0,
30983,2025,南部赛区,84,KNOCKOUT,东莞理工学院,ACE,华南农业大学,Taurus,0,2,
30984,2025,南部赛区,85,KNOCKOUT,武汉工程大学,Nautilus,广东工业大学,DynamicX,2,0,
30985,2025,南部赛区,86,KNOCKOUT,深圳大学,RobotPilots,南华大学,MA,2,0,
30986,2025,南部赛区,87,KNOCKOUT,广州城市理工学院,野狼,东莞理工学院,ACE,3,1,
30987,2025,南部赛区,88,KNOCKOUT,五邑大学,IMCA,华南农业大学,Taurus,0,3,
