school	nickname	uid	group
阿尔伯塔大学	UARM_Artemis战队	1809005975	RM
安徽理工大学	安徽理工大学鸿烈战队	1520157998	RM
安徽信息工程学院	Artisans机器人工作室	480994440	RM
北部湾大学	北部湾大学飞虎战队	2004335409	RM
北方工业大学	北方工大DreamTeam	483728350	RM
北京工业大学	PIP机器人战队	1089014863	RM
北京航空航天大学	北航机器人队BR	3546810920471028	RM
北京吉利学院	RoboMaster北吉星	495156726	RM
北京交通大学（威海）	BNGU战队	2116207227	RM
北京科技大学	北科大Reborn机器人队	35313085	RM
北京理工大学	北理工追梦战队	411495552	RM
北京理工大学（珠海）	北理珠毅恒战队	1751158266	RM
北京林业大学	嗷呜嗷呜的森林狼战队	1006533854	RM
北京师范大学-香港浸会大学联合国际学院	UIC-Navigator	3546373957880136	RM
北京石油化工学院	Unicorn行空工作室	3546835891259510	RM
北京信息科技大学	北信科Astra战队	1300735030	RM
北京邮电大学	北邮逐雁战队	549118149	RM
常州大学	RM常大Climber战队	1419737293	RM
常州工学院赫特福德学院	常工FA机器人战队	3546643565643900	RM
成都大学	成都大学Ultra战队	1402799613	RM
成都工业学院	成都工业Success战队	1923274493	RM
成都理工大学工程技术学院	核聚nucleus战队	1441712577	RM
成都信息工程大学	风信子战队	510594686	RM
重庆大学	重庆大学千里战队	1432987899	RM
重庆第二师范学院	FGT-扶光战队	3493123353217971	RM
重庆理工大学	重理工士继DREAMER战队	1032748998	RM
重庆三峡学院	CTGU-LionHeart战队	1862361970	RM
重庆邮电大学	重邮重山RM	3546581974387617	RM
大连大学	智能引擎机器人队	1099055596	RM
大连交通大学	TOE创新实验室	475886688	RM
大连理工大学	凌BUG战队	316514143	RM
大连民族大学	大连民族大学CONE战队	1105335220	RM
德州农工大学	Texas-Aimbots	3546392635115719	RM
电子科技大学成都学院	微城市V-CTIM战队	1674757489	RM
电子科技大学中山学院	电科中山RoboBraver	482366311	RM
电子科技大学中山学院	RB人的日常	3546678256732596	RM
东北大学	东北大学T-DT实验室	441058262	RM
东北大学秦皇岛分校	征龙凌沧机甲战队	1413659378	RM
东北林业大学	东林Ares实验室	2111524758	RM
东莞理工学院	ajjsjsb	435657962	RM
东莞理工学院	DGUT-ACE战队	1580858117	RM
东莞理工学院	莞工ACE机器人战队	1674900345	RM
"东莞理工学院粤台产业科技学院&
东莞理工学院中法联合学院&
法国国立工艺学院&
台湾中正大学"	KineticRobotics	3546592038619425	RM
东华大学	东华大学DIODE战队	628899287	RM
东南大学	东南大学3SE战队	1911835891	RM
防灾科技学院	思玄机器人战队	3461564694792769	RM
佛山大学（原佛山科学技术学院）	醒狮战队	477174788	RM
福建理工大学	FJUT机器人实验室	228802230	RM
福建农林大学	福建农林大学071战队	490985999	RM
