school	team	levelDocument	initialCoinDocument	levelTechnology	initialCoinTechnology	initialCoinTotal
同济大学	SuperPower	S	50	S	150	200
浙江大学	Hello World	S	50	S	150	200
中南大学	FYT	S	50	S	150	200
北京理工大学	追梦	A	25	S	150	175
中国石油大学（华东）	RPS	A	25	S	150	175
哈尔滨工业大学（威海）	HERO	B	0	S	150	150
西安交通大学	笃行	B	0	S	150	150
大连理工大学	凌BUG	B	0	S	150	150
广州城市理工学院	野狼	A	25	A	75	100
华南农业大学	Taurus	A	25	A	75	100
五邑大学	IMCA	A	25	A	75	100
广西大学	ROBOTZ	A	25	A	75	100
哈尔滨工业大学	I Hiter	A	25	A	75	100
江苏大学	Aurora	A	25	A	75	100
合肥工业大学（宣城校区）	WDR	A	25	A	75	100
复旦大学	星云EGA	A	25	A	75	100
山东科技大学	SmartRobot	B	0	A	75	75
沈阳理工大学	Ambition	B	0	A	75	75
华东理工大学	起源	B	0	A	75	75
上海工程技术大学	木鸢Birdiebot	B	0	A	75	75
吉林大学	TARS Go	B	0	A	75	75
深圳大学	RobotPilots	B	0	A	75	75
厦门大学嘉庚学院	TCR	B	0	A	75	75
河北科技大学	Actor&Thinker	B	0	A	75	75
江南大学霞客湾校区	SHARK	B	0	A	75	75
桂林电子科技大学	Evolution	B	0	A	75	75
东莞理工学院	ACE	B	0	A	75	75
北京信息科技大学	星辰	B	0	A	75	75
广东工业大学	DynamicX	B	0	A	75	75
重庆理工大学	士继DREAMER	B	0	A	75	75
仲恺农业工程学院	奇点	B	0	A	75	75
北方工业大学	DreamTeam	B	0	A	75	75
南昌大学	Passion	B	0	A	75	75
香港科技大学	ENTERPRIZE	B	0	A	75	75
华南理工大学	华南虎	B	0	A	75	75
香港科技大学（广州）	PnX	B	0	A	75	75
南京理工大学江阴校区	Combat	B	0	A	75	75
太原理工大学	TRoMaC	B	0	A	75	75
上海交通大学	交龙	B	0	A	75	75
北京理工大学（珠海）	毅恒	B	0	A	75	75
上海大学	SRM	B	0	A	75	75
香港大学	HerKules	B	0	A	75	75
天津大学	北洋机甲	B	0	A	75	75
福建师范大学	PKA	B	0	A	75	75
哈尔滨工业大学（深圳）	南工骁鹰	B	0	A	75	75
桂林信息科技学院	GIRT	B	0	A	75	75
中国科学技术大学	RoboWalker	B	0	A	75	75
电子科技大学中山学院	RoboBraver	B	0	A	75	75
中北大学	606	B	0	A	75	75
深圳技术大学	悍匠	B	0	A	75	75
华中科技大学	狼牙	B	0	A	75	75
山东理工大学	齐奇	B	0	A	75	75
成都大学	Ultra	B	0	A	75	75
四川大学	火锅	B	0	A	75	75
华北理工大学	Horizon	B	0	A	75	75
厦门大学	RCS	B	0	A	75	75
杭州电子科技大学	PHOENIX	B	0	A	75	75
西北工业大学	WMJ	B	0	A	75	75
西交利物浦大学	GMaster	B	0	A	75	75
东南大学	3SE	B	0	A	75	75
国防科技大学	军临	B	0	A	75	75
西安电子科技大学	IRobot	B	0	A	75	75
西南交通大学	Helios	B	0	A	75	75
中国矿业大学	CUBOT	B	0	A	75	75
南方科技大学	ARTINX	B	0	A	75	75
南京理工大学	Alliance	B	0	A	75	75
长沙理工大学	云嵌	C	-25	A	75	50
哈尔滨工程大学	创梦之翼	C	-25	A	75	50
常州大学	Climber	C	-25	A	75	50
华南师范大学	PIONEER	A	25	B	0	25
广州航海学院	ICBK破冰船	B	0	B	0	0
武汉大学	珞珈狐	B	0	B	0	0
青岛大学	未来	B	0	B	0	0
太原科技大学	NewMaker	B	0	B	0	0
东北大学	TDT	B	0	B	0	0
武汉工程大学	Nautilus	B	0	B	0	0
安徽信息工程学院	Artisans	B	0	B	0	0
华北科技学院	风暴	B	0	B	0	0
华南师范大学（佛山校区）	VANGUARD	B	0	B	0	0
齐鲁工业大学	Adam	B	0	B	0	0
南华大学	MA	B	0	B	0	0
太原工业学院	火线	B	0	B	0	0
湘潭大学	逐曦	B	0	B	0	0
首都师范大学	PIE	C	-25	B	0	-25
东北大学秦皇岛分校	征龙凌沧	C	-25	B	0	-25
桂林理工大学	群星	B	0	C	-25	-25
长安大学	VGD	C	-25	B	0	-25
厦门理工学院	PFA	C	-25	B	0	-25
中国石油大学（北京）	SPR	C	-25	B	0	-25
合肥工业大学	苍穹	B	0	C	-25	-25
武汉科技大学	崇实	C	-25	B	0	-25
成都信息工程大学	风信子	B	0	C	-25	-25
内蒙古科技大学	雷霆	B	0	C	-25	-25
南京航空航天大学金城学院	Born of Fire	C	-25	B	0	-25
辽宁石油化工大学	TCN	B	0	C	-25	-25
福建理工大学	苍侠	C	-25	C	-25	-50
